gene,color,number
gene-LOC124189820,grey,2
gene-LOC124188270,blue,3
gene-LOC124188271,blue,3
gene-LOC124188272,blue,3
gene-LOC124188274,blue,3
gene-LOC124188275,blue,3
gene-LOC124188278,blue,3
gene-LOC124188279,blue,3
gene-LOC124188284,blue,3
gene-LOC124188293,blue,3
gene-LOC124188297,blue,3
gene-LOC124188303,blue,3
gene-LOC124188306,blue,3
gene-LOC124188316,blue,3
gene-LOC124188320,blue,3
gene-LOC124188329,blue,3
gene-LOC124188331,blue,3
gene-LOC124188337,blue,3
gene-LOC124188340,blue,3
gene-LOC124188349,blue,3
gene-LOC124188354,blue,3
gene-LOC124188355,blue,3
gene-LOC124188361,blue,3
gene-LOC124188378,blue,3
gene-LOC124188379,blue,3
gene-LOC124188409,blue,3
gene-LOC124188411,blue,3
gene-LOC124188414,blue,3
gene-LOC124188418,blue,3
gene-LOC124188419,blue,3
gene-LOC124188421,blue,3
gene-LOC124188422,blue,3
gene-LOC124188424,blue,3
gene-LOC124188426,blue,3
gene-LOC124188427,blue,3
gene-LOC124188428,blue,3
gene-LOC124188435,blue,3
gene-LOC124188437,blue,3
gene-LOC124188450,blue,3
gene-LOC124188472,blue,3
gene-LOC124188483,blue,3
gene-LOC124188497,blue,3
gene-LOC124188513,blue,3
gene-LOC124188515,blue,3
gene-LOC124188532,blue,3
gene-LOC124188536,blue,3
gene-LOC124188538,blue,3
gene-LOC124188541,blue,3
gene-LOC124188547,blue,3
gene-LOC124188548,blue,3
gene-LOC124188551,blue,3
gene-LOC124188554,blue,3
gene-LOC124188555,blue,3
gene-LOC124188568,blue,3
gene-LOC124188570,blue,3
gene-LOC124188572,blue,3
gene-LOC124188574,blue,3
gene-LOC124188577,blue,3
gene-LOC124188579,blue,3
gene-LOC124188586,blue,3
gene-LOC124188594,blue,3
gene-LOC124188604,blue,3
gene-LOC124188607,blue,3
gene-LOC124188610,blue,3
gene-LOC124188614,blue,3
gene-LOC124188637,blue,3
gene-LOC124188643,blue,3
gene-LOC124188646,blue,3
gene-LOC124188651,blue,3
gene-LOC124188656,blue,3
gene-LOC124188663,blue,3
gene-LOC124188677,blue,3
gene-LOC124188680,blue,3
gene-LOC124188682,blue,3
gene-LOC124188706,blue,3
gene-LOC124188707,blue,3
gene-LOC124188709,blue,3
gene-LOC124188710,blue,3
gene-LOC124188714,blue,3
gene-LOC124188725,blue,3
gene-LOC124188730,blue,3
gene-LOC124188732,blue,3
gene-LOC124188737,blue,3
gene-LOC124188738,blue,3
gene-LOC124188741,blue,3
gene-LOC124188745,blue,3
gene-LOC124188753,blue,3
gene-LOC124188757,blue,3
gene-LOC124188771,blue,3
gene-LOC124188778,blue,3
gene-LOC124188779,blue,3
gene-LOC124188780,blue,3
gene-LOC124188804,blue,3
gene-LOC124188808,blue,3
gene-LOC124188809,blue,3
gene-LOC124188817,blue,3
gene-LOC124188820,blue,3
gene-LOC124188829,blue,3
gene-LOC124188831,blue,3
gene-LOC124188832,blue,3
gene-LOC124188835,blue,3
gene-LOC124188837,blue,3
gene-LOC124188844,blue,3
gene-LOC124188845,blue,3
