logFC,logCPM,PValue,FDR,,
BJP76_RS06810,1.904382069,11.15644471,2.36E-11,2.58E-10,
BJP76_RS05435,1.903801651,11.39733521,2.24E-07,1.20E-06,
BJP76_RS03430,1.902647195,0.521581919,7.54E-05,0.000246249,
BJP76_RS04410,1.899199961,7.716681426,2.13E-14,3.74E-13,
BJP76_RS14305,1.892794834,9.086498596,3.08E-06,1.35E-05,
BJP76_RS18330,1.890058043,6.927630995,2.95E-05,0.000105126,
BJP76_RS21905,1.889900193,6.633702032,2.78E-09,2.13E-08,
BJP76_RS22575,1.889729658,10.53169153,2.86E-08,1.82E-07,
BJP76_RS18605,1.886971054,9.897840302,1.13E-09,9.25E-09,
BJP76_RS22050,1.884274396,5.509441328,0.00034815,0.000974138,
BJP76_RS04285,1.883464279,5.150127844,1.92E-12,2.43E-11,
BJP76_RS02210,1.877687166,1.509514128,5.76E-07,2.85E-06,
BJP76_RS09430,1.871383155,9.345560122,5.49E-08,3.31E-07,
BJP76_RS06505,1.870075948,5.019365363,2.96E-08,1.88E-07,
BJP76_RS15325,1.863131214,10.34157389,3.75E-05,0.000130285,
BJP76_RS19165,1.862463594,7.415241272,5.28E-18,1.70E-16,
BJP76_RS04905,1.859133908,10.67156373,1.63E-08,1.09E-07,
BJP76_RS21395,1.857763102,8.324644732,3.98E-09,2.96E-08,
BJP76_RS17675,1.856700568,7.405885688,6.03E-16,1.37E-14,
BJP76_RS09260,1.851525908,5.272269336,8.37E-06,3.37E-05,
BJP76_RS16325,1.847847409,-0.251360008,0.005236052,0.011085826,
BJP76_RS11595,1.847801084,8.233407761,4.64E-15,9.15E-14,
BJP76_RS21420,1.847122327,11.68686663,0.000209601,0.000617975,
BJP76_RS20135,1.846993944,6.91723959,2.60E-11,2.82E-10,
BJP76_RS20110,1.835663874,7.569830215,9.51E-08,5.44E-07,
BJP76_RS12955,1.835461842,7.104863437,1.41E-09,1.14E-08,
BJP76_RS19540,1.829083176,4.959282722,7.84E-16,1.71E-14,
BJP76_RS04205,1.822452115,8.985880883,1.77E-09,1.40E-08,
BJP76_RS13325,1.820471845,9.063800404,5.62E-08,3.38E-07,
BJP76_RS15385,1.820420909,8.482475012,9.59E-06,3.83E-05,
BJP76_RS22370,1.819677496,8.87300306,4.23E-10,3.72E-09,
BJP76_RS22675,1.815317454,2.223122688,0.000284583,0.000816008,
BJP76_RS11660,1.814445358,9.805218693,4.33E-11,4.56E-10,
BJP76_RS04290,1.813924558,7.016650461,2.06E-20,9.07E-19,
BJP76_RS19075,1.804814463,6.668119251,5.62E-12,6.66E-11,
BJP76_RS03095,1.801329106,2.722320714,2.95E-05,0.000105126,
BJP76_RS07115,1.800086903,3.032816506,0.000347474,0.000972881,
BJP76_RS19460,1.797718714,8.857596342,1.74E-12,2.21E-11,
BJP76_RS18135,1.794490391,8.15139091,2.91E-05,0.000103615,
BJP76_RS19195,1.79393801,8.249264351,9.92E-05,0.000315552,
BJP76_RS05255,1.793392248,7.708901165,1.13E-07,6.34E-07,
BJP76_RS22125,1.790221158,8.467434882,8.23E-11,8.27E-10,
BJP76_RS09755,1.789759037,9.197356943,1.15E-10,1.13E-09,
BJP76_RS22500,1.787787498,6.862506802,9.40E-11,9.36E-10,
BJP76_RS22390,1.786373336,8.825965601,4.09E-05,0.000140591,
BJP76_RS14670,1.781201128,5.69331482,5.38E-07,2.68E-06,
BJP76_RS14825,1.779736574,8.367897954,7.88E-19,2.86E-17,
BJP76_RS11820,1.775654595,5.753537617,0.012110896,0.023428262,
BJP76_RS04860,1.775121483,10.24144337,1.28E-08,8.82E-08,
BJP76_RS12370,1.774371602,4.735846388,1.40E-08,9.52E-08,
BJP76_RS23515,1.766403245,5.971534076,2.13E-05,7.85E-05,
BJP76_RS22980,1.76426751,9.106889055,2.06E-11,2.28E-10,
BJP76_RS02715,1.762892101,7.371017841,4.34E-07,2.20E-06,
BJP76_RS17890,1.762452793,9.124860966,1.11E-07,6.26E-07,
BJP76_RS18830,1.762317433,8.404987139,0.000167082,0.00050514,
BJP76_RS04855,1.762060921,8.393268873,2.63E-10,2.42E-09,
BJP76_RS10925,1.756385818,6.956668284,0.01593082,0.030017535,
BJP76_RS19080,1.755773925,7.668099313,1.07E-18,3.74E-17,
BJP76_RS10460,1.748629807,5.826000531,5.33E-13,7.36E-12,
BJP76_RS04850,1.745769281,8.349109909,2.82E-08,1.81E-07,
BJP76_RS22820,1.739935702,4.366359665,1.39E-06,6.43E-06,
BJP76_RS15910,1.738889723,7.01382013,1.49E-06,6.85E-06,
BJP76_RS12300,1.737872705,5.722032677,8.04E-13,1.08E-11,
BJP76_RS04415,1.736582542,7.370030869,1.04E-13,1.66E-12,
BJP76_RS22580,1.733796421,8.911280791,0.000270414,0.000781135,
BJP76_RS22635,1.720607496,6.853576003,7.97E-11,8.03E-10,
BJP76_RS19560,1.712364927,8.019662611,1.11E-08,7.75E-08,
BJP76_RS06815,1.707406153,9.70247351,5.17E-11,5.39E-10,
BJP76_RS12335,1.704113267,5.792901604,5.03E-08,3.06E-07,
BJP76_RS23400,1.702287261,8.261836905,2.60E-05,9.41E-05,
BJP76_RS09720,1.700314191,6.75084122,1.59E-14,2.87E-13,
BJP76_RS13810,1.700029529,4.493071313,1.68E-12,2.17E-11,
BJP76_RS10470,1.698041957,3.44098981,4.89E-09,3.58E-08,
BJP76_RS20180,1.696535612,8.222051739,5.49E-20,2.30E-18,
BJP76_RS11205,1.696097351,10.23072606,2.14E-11,2.36E-10,
BJP76_RS22505,1.694421319,8.154702929,3.55E-12,4.33E-11,
BJP76_RS09905,1.692100761,9.300060995,1.28E-12,1.67E-11,
BJP76_RS07310,1.686899998,5.049479477,1.40E-06,6.48E-06,
BJP76_RS23505,1.681693346,5.214455425,1.86E-18,6.26E-17,
BJP76_RS10480,1.676450396,5.814675309,5.14E-12,6.11E-11,
BJP76_RS18930,1.674536348,3.980996108,3.01E-05,0.00010702,
BJP76_RS07855,1.672873991,8.037917382,3.83E-08,2.36E-07,
BJP76_RS04310,1.672151762,7.218750522,4.94E-17,1.33E-15,
BJP76_RS12945,1.670372984,8.883529702,9.34E-09,6.58E-08,
BJP76_RS18185,1.669495464,6.4623817,1.87E-09,1.49E-08,
BJP76_RS03060,1.66776734,6.249413917,1.77E-13,2.71E-12,
BJP76_RS21540,1.666137299,8.034700905,1.53E-05,5.81E-05,
BJP76_RS11100,1.6555356,6.720246654,3.18E-08,2.00E-07,
BJP76_RS15075,1.654791662,5.738852854,1.61E-10,1.53E-09,
BJP76_RS14000,1.652737284,6.596846098,2.19E-10,2.04E-09,
BJP76_RS07090,1.642729284,5.028866184,0.000124742,0.000386413,
