"","cntrl1_4h","cntrl2_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas001337",46,84,92,66,112,83,45,93,111,56,96,113
"Tcas001657",260,419,284,332,323,338,295,505,571,567,767,734
"Tcas000567",383,422,552,371,542,511,526,438,572,626,734,796
"Tcas001606",34,35,25,18,30,28,35,22,21,31,39,30
"Tcas000826",91,104,97,61,85,80,72,77,80,53,86,73
"Tcas001597",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000809",77,115,126,84,119,119,79,79,110,77,93,96
"Tcas000182",12,23,34,16,22,24,9,8,27,15,8,15
"Tcas000976",113,159,155,94,123,136,151,125,156,117,144,154
"Tcas000120",0,0,1,0,0,0,0,0,1,0,0,0
"Tcas000973",0,1,0,1,5,1,0,0,0,0,0,1
"Tcas000206",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas001706",0,0,1,0,0,0,0,0,0,0,0,0
"Tcas000987",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000608",520,941,887,711,1043,532,424,607,694,336,668,697
"Tcas000119",754,918,902,749,767,988,1087,833,896,683,705,702
"Tcas000549",115,137,177,135,201,170,151,146,165,109,163,158
"Tcas000461",52,78,69,66,56,81,90,73,68,62,74,67
"Tcas001005",40,54,55,48,44,59,61,44,44,67,45,45
"Tcas000887",22,15,20,12,22,18,27,14,21,29,27,29
"Tcas001246",331,437,414,403,367,552,428,407,444,628,596,599
"Tcas001586",565,838,699,517,520,660,838,692,704,707,825,753
"Tcas000537",1287,1713,2010,1245,1813,1645,1431,1463,1513,1223,1606,1606
"Tcas000997",2,2,0,1,3,1,3,0,1,2,2,1
"Tcas001379",0,1,0,1,0,0,1,0,0,0,0,0
"Tcas001203",96,162,150,126,133,139,110,98,135,111,106,106
"Tcas001179",82,108,99,64,105,103,83,68,95,96,95,85
"Tcas000859",104,143,153,91,115,92,120,105,133,110,141,136
"Tcas000601",1473,1652,1597,1140,1070,1113,1670,1299,1301,1491,1531,1684
"Tcas001488",100,91,72,91,39,78,115,89,60,38,44,44
"Tcas001446",49,73,67,44,63,50,28,50,41,32,41,50
"Tcas001631",395,592,654,421,568,492,400,502,563,375,482,507
"Tcas001490",103,127,153,105,130,117,101,93,139,89,118,130
"Tcas000499",2,3,3,2,6,2,4,1,2,2,1,7
"Tcas000928",330,273,245,203,1086,561,400,201,294,255,276,247
"Tcas001348",46,63,80,47,67,50,56,58,58,37,31,55
"Tcas000329",289,504,550,388,442,442,276,357,408,203,308,348
"Tcas000886",31,35,24,25,25,40,38,13,22,16,17,21
"Tcas000337",72,119,78,97,70,84,71,58,63,54,61,96
"Tcas001717",68,112,96,67,97,99,76,58,74,82,101,82
"Tcas001399",1376,1915,2222,1444,2104,2016,1885,1156,1302,700,806,841
"Tcas001042",11,15,19,7,30,12,7,20,10,11,12,15
"Tcas001504",70,101,110,69,93,98,63,56,86,61,86,75
"Tcas000586",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas001256",165,367,322,233,348,275,181,276,319,211,295,346
"Tcas000435",18,12,20,10,28,24,12,15,19,19,20,16
"Tcas001638",253,338,362,245,372,294,283,326,361,286,335,401
"Tcas000208",404,341,405,414,214,352,930,638,363,307,348,409
"Tcas001433",13,15,31,21,11,27,20,15,11,10,14,15
"Tcas000888",208,260,323,193,328,282,272,264,364,190,283,289
"Tcas000778",128,194,231,172,279,234,140,128,223,127,207,198
"Tcas000881",212,362,333,291,268,192,231,260,291,280,299,320
"Tcas000492",113,178,142,132,189,130,183,136,157,116,150,139
"Tcas001075",127,141,154,120,142,194,149,132,120,112,127,110
"Tcas001672",63,71,63,48,67,52,54,55,70,41,48,64
"Tcas000243",530,727,745,612,689,528,520,608,683,582,755,769
"Tcas000843",80,151,127,96,162,119,125,132,160,102,97,130
"Tcas001301",46,63,57,37,63,56,73,50,66,48,68,47
"Tcas000681",112,145,168,105,176,153,123,103,147,88,153,161
"Tcas001486",225,366,378,285,340,338,301,317,331,289,322,351
"Tcas001587",1202,1322,1231,1076,946,1114,1824,1176,1151,996,987,995
"Tcas001253",140,189,182,113,120,174,153,131,167,148,172,179
"Tcas001162",130,228,239,148,209,175,124,152,167,101,189,177
"Tcas000517",635,791,1204,663,1860,1244,687,690,1073,450,851,840
"Tcas000990",61,74,93,57,85,71,38,60,82,47,68,112
"Tcas001240",38888,39065,50106,45488,33608,49035,69162,47283,42340,34680,34927,38752
"Tcas000130",1,1,0,0,0,0,0,0,0,0,2,0
"Tcas001599",23,38,34,22,36,34,13,18,34,17,27,27
"Tcas001713",116,227,699,168,811,607,44,140,284,50,241,272
"Tcas001224",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000231",409,610,606,459,533,413,480,542,591,471,595,651
"Tcas001356",163,218,216,147,202,192,208,149,204,130,174,181
"Tcas000226",389,511,524,377,435,407,425,428,503,401,476,509
"Tcas001428",1254,1692,1772,1323,1466,679,1315,1693,1662,1199,1644,1813
"Tcas000171",16,12,13,7,1,8,19,12,10,20,9,15
"Tcas001708",202,324,332,258,294,256,312,333,329,213,347,318
"Tcas000258",925,1350,1537,1102,1389,1174,928,1109,1424,823,1133,1182
"Tcas001684",51,93,46,72,44,103,101,64,85,79,118,52
"Tcas000493",2,3,6,1,4,2,3,1,2,0,3,3
"Tcas000201",0,1,0,3,0,0,1,1,1,0,0,0
"Tcas001316",3,0,1,0,1,2,1,0,0,0,0,0
"Tcas001536",65,43,36,29,0,23,81,34,36,24,14,13
"Tcas001651",239,258,299,156,103,206,257,200,140,378,139,202
"Tcas000340",227,243,594,153,458,487,360,449,481,108,295,472
"Tcas000983",1765,2332,3265,1718,4367,3885,2469,1957,2590,1462,2136,2110
"Tcas001702",18,23,16,20,10,23,44,28,18,27,17,11
"Tcas000164",191,296,260,248,257,198,201,235,215,191,261,322
"Tcas001223",45,54,54,63,49,54,42,49,55,43,57,69
"Tcas001623",29,60,51,58,57,65,46,51,57,48,64,61
"Tcas001051",2,1,2,3,0,2,4,0,4,3,2,2
"Tcas000278",611,753,734,627,516,676,815,642,576,523,427,571
"Tcas001381",50,69,75,52,63,61,68,61,63,48,43,63
"Tcas000960",249,271,305,184,325,280,400,304,445,225,303,300
"Tcas000623",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000349",0,0,0,0,0,0,1,0,0,0,0,0
"Tcas000577",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas001542",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000238",2,2,10,1,8,6,3,11,6,1,4,7
"Tcas000264",975,1372,1843,1338,1399,918,415,930,958,619,1172,1476
"Tcas001561",116,155,220,105,189,228,136,152,180,108,164,182
"Tcas001281",67,64,48,45,49,72,88,52,50,59,53,49
"Tcas001450",1373,1868,1793,1133,1570,1587,1613,1503,1800,1469,1467,1518
"Tcas000251",52,71,49,36,26,70,58,53,65,63,72,63
"Tcas001720",11,20,17,15,31,24,10,19,22,18,22,14
"Tcas000425",3225,4873,5715,3552,6015,4410,2519,3330,4015,2316,3598,3960
"Tcas000971",134,149,236,139,256,195,111,98,153,79,107,116
"Tcas000442",201,261,340,213,426,301,100,108,167,129,173,176
"Tcas001143",419,574,618,469,653,500,443,494,519,389,567,592
"Tcas000202",140,149,172,128,144,179,99,95,130,108,129,122
"Tcas000965",180,237,226,158,257,230,189,207,238,177,179,182
"Tcas000317",304,295,297,259,224,342,467,313,256,354,281,313
"Tcas001275",558,854,860,552,833,540,503,637,672,526,755,879
"Tcas000930",141,152,190,133,307,165,138,153,209,140,175,188
"Tcas000217",398,1028,888,690,872,464,174,556,548,147,377,554
"Tcas000351",21,34,24,17,27,21,20,20,22,14,22,18
"Tcas001118",5,11,10,9,13,9,8,13,9,5,7,7
"Tcas000169",201,241,209,180,211,219,219,155,210,164,186,203
"Tcas001178",65,98,65,74,77,75,69,78,70,41,68,80
"Tcas001391",87,168,173,99,153,139,95,121,130,81,135,136
"Tcas000292",5,23,59,11,85,38,2,0,20,0,9,21
"Tcas000653",0,1,1,1,1,0,0,2,0,3,4,4
"Tcas001680",315,505,806,427,893,462,86,273,321,100,276,381
"Tcas001443",184,12,7,110,947,394,7,1,246,6,6,5
"Tcas000901",29,79,113,31,195,170,1,5,33,5,18,39
"Tcas001610",18,79,152,26,218,206,7,8,42,6,79,79
"Tcas000263",598,864,865,615,887,738,677,616,807,610,750,763
"Tcas001025",142,299,313,214,276,155,52,176,200,54,108,154
"Tcas001469",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000194",154,253,273,193,267,242,190,195,228,189,247,240
"Tcas000314",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000675",1,1,2,0,1,1,2,1,1,1,0,0
"Tcas001125",1,0,1,2,0,1,1,0,0,0,0,0
"Tcas000539",23,53,46,23,45,47,45,28,27,27,43,29
"Tcas001330",176,305,286,191,300,327,206,219,264,153,220,251
"Tcas001459",4122,5399,6058,3863,5868,5885,4643,4315,4894,3860,5066,4799
"Tcas000579",467,589,668,458,641,402,300,389,387,319,433,427
"Tcas000682",197,196,215,153,405,345,215,184,203,173,107,111
"Tcas000856",60,81,78,76,79,86,147,118,84,101,66,60
"Tcas001002",1943,2332,2470,2147,2820,1773,2042,1965,2187,1778,2068,2357
"Tcas000562",40,49,30,26,35,44,33,14,36,13,22,43
"Tcas001088",107,153,122,109,117,81,77,91,97,75,88,98
"Tcas000882",245,400,351,291,261,195,196,239,250,196,301,335
"Tcas001580",221,290,229,204,202,217,215,201,225,202,251,212
"Tcas000892",156,178,164,180,124,143,259,155,196,106,189,152
"Tcas000804",452,449,413,263,351,407,827,340,540,590,413,515
"Tcas000912",1645,2677,3374,2149,2380,1470,1390,1897,1924,1589,2330,2796
"Tcas000543",71,123,109,91,108,132,91,90,104,74,94,99
"Tcas000769",277,429,691,341,779,519,271,228,353,238,497,661
"Tcas000401",1027,1683,1886,1371,1572,1315,982,1380,1392,840,1352,1604
"Tcas000637",80,133,125,79,153,164,87,81,126,55,57,66
"Tcas000878",416,533,601,426,693,503,403,354,428,370,479,586
"Tcas000631",73,121,60,63,7,54,208,107,69,129,87,92
"Tcas000363",193,506,454,296,465,220,168,334,348,254,368,421
"Tcas001280",243,410,418,299,487,393,190,256,276,303,362,244
"Tcas001681",54,155,156,67,188,120,22,57,95,18,56,85
"Tcas000744",19,21,35,20,35,19,14,15,22,19,16,28
"Tcas001336",354,523,447,322,580,440,351,358,463,329,351,360
