LOC124193967	GO:0003779,GO:0016567
LOC124193956	GO:0005697,GO:0005737,GO:0005515,GO:0042162,GO:0070034,GO:0000184
LOC124193945	GO:0038202,GO:0071230,GO:0030307,GO:0005515,GO:0005737,GO:0010506,GO:0009267,GO:0031931,GO:0030674,GO:0071902
LOC124193977	GO:0005777,GO:0016020,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
LOC124195521	GO:0016021
LOC124201640	GO:0016021
LOC124201512	GO:0003779,GO:0005794
LOC124198203	GO:0006516,GO:0004567,GO:0005975,GO:0005764
LOC124207448	GO:0006814,GO:0055085,GO:0016021,GO:0015293
LOC124207225	GO:0006814,GO:0055085,GO:0016021,GO:0015293
LOC124195585	GO:0000978,GO:0000981,GO:0006357
LOC124200477	GO:0005887,GO:0055085,GO:0005515,GO:0043252,GO:0015347
LOC124200483	GO:0055085,GO:0008643,GO:0016021,GO:0005366,GO:0015798
LOC124196436	GO:0005515,GO:0070260,GO:0016605,GO:0005737,GO:0003697,GO:0006302
LOC124196416	GO:0005525,GO:0032438,GO:0005802,GO:0016192,GO:0042470,GO:0003924,GO:0005739,GO:0016020,GO:0006886
LOC124197784	GO:0005112,GO:0005509
LOC124198022	GO:0005747,GO:0016491,GO:0046872,GO:0051537,GO:0006120
LOC124198016	GO:0005634,GO:0035064,GO:0046872,GO:0006325,GO:0006355
LOC124198008	GO:0005634,GO:0005829,GO:0004197,GO:0004843,GO:0006511,GO:0016579,GO:0031647
LOC124192597	GO:0016021,GO:0005515
LOC124189228	GO:0005634,GO:0000977,GO:0000981,GO:0006357
LOC124189593	GO:0005737,GO:0008180,GO:0000338,GO:0010387
LOC124200346	GO:0051015,GO:0051764,GO:0008093,GO:0001578,GO:0035371,GO:0005737,GO:0001725,GO:0031110,GO:0005884,GO:1904825,GO:0008017
LOC124196196	GO:0005634,GO:0051287,GO:0006065,GO:0003979,GO:0006024,GO:0005829
LOC124196218	GO:0000139,GO:0005789,GO:0016021,GO:0006506
LOC124196115	GO:0016021,GO:0006874
LOC124196190	GO:0015276,GO:0034220,GO:0038023,GO:0016021,GO:0005886
LOC124196207	GO:0005886,GO:0016021,GO:0003677,GO:0046872,GO:0010646,GO:0016192,GO:0023051,GO:0031503,GO:0051641
LOC124192384	GO:0005634,GO:0016020,GO:0000981,GO:0006357,GO:0022607
LOC124192462	GO:0071014,GO:0000398
LOC124210433	GO:0000781,GO:0035861,GO:0006260,GO:0000724,GO:0006289,GO:0005662,GO:0003697
LOC124205645	GO:0006814,GO:0055085,GO:0016021,GO:0015293
LOC124207202	GO:0006814,GO:0055085,GO:0016021,GO:0015293
LOC124210503	GO:0016021
LOC124210573	GO:0016021
LOC124200137	GO:0016758,GO:0006486,GO:0016021,GO:0000139
LOC124200005	GO:0000124,GO:0071819,GO:0003713,GO:0008270,GO:0006325,GO:0006357,GO:0016578,GO:0045893
LOC124200391	GO:0000050,GO:0005829,GO:0004053,GO:0030145,GO:0019547
LOC124200214	GO:0003723
LOC124199416	GO:0046872,GO:0043951,GO:0004115
LOC124199798	GO:0003951,GO:0047620,GO:0005739,GO:0016020,GO:0046513,GO:0004143,GO:0001729,GO:0046834
LOC124199567	GO:0016021,GO:0004252,GO:0006508
LOC124200833	GO:0008173,GO:0001510,GO:0008171,GO:0005737,GO:2000632,GO:0010586
LOC124200551	GO:0016021
LOC124199878	GO:0008235,GO:0016740,GO:0006508
LOC124200471	GO:0000139,GO:0016021,GO:0008146
LOC124199724	GO:0005832,GO:0005524,GO:0016887,GO:0051082,GO:0006457
LOC124190207	GO:0071482,GO:0005887,GO:0007186,GO:0009584,GO:0008020,GO:0018298,GO:0007601,GO:0007602
LOC124190270	GO:0005778,GO:0005515,GO:0016560,GO:0016021,GO:1990429
LOC124209093	GO:0005634,GO:0000981,GO:0003677,GO:0006357,GO:0007601,GO:0050896
LOC124198333	GO:0005576,GO:0005887,GO:0009986,GO:0030427,GO:0005034,GO:0006972,GO:0007232,GO:0030010
LOC124200533	GO:0016021
LOC124200547	GO:0005509,GO:0008597,GO:0050790
LOC124200521	GO:0016021,GO:0005515,GO:0008344,GO:0048512,GO:0050804
LOC124190830	GO:0000836,GO:0016021,GO:0016874,GO:0046872,GO:0061630,GO:0016567,GO:0030433
LOC124190672	GO:0019901
LOC124190753	GO:0003735,GO:0005762,GO:0006412
LOC124208187	GO:0005634,GO:0000977,GO:0000981,GO:0006357
LOC124188595	GO:0005509
LOC124191254	GO:0005887,GO:0005249,GO:0005516,GO:0071805,GO:0042391,GO:0034765
LOC124192488	GO:0000381,GO:0003729
LOC124192524	GO:0051536,GO:0016226
LOC124192502	GO:0004149,GO:0045252,GO:0006099,GO:0033512
LOC124192481	GO:0005634,GO:0000978,GO:0000981,GO:0006357
LOC124192513	GO:0005975,GO:0050650,GO:0046872,GO:0006486,GO:0016021,GO:0000139,GO:0015018
LOC124188999	GO:0005524,GO:0043408,GO:0005737,GO:0032147,GO:0004674,GO:0106310
LOC124188978	GO:0004435,GO:0048015,GO:0005509,GO:0016042
LOC124189024	GO:0005634,GO:0003714,GO:0046872,GO:0006357,GO:0045892
LOC124189041	GO:0005112
LOC124189051	GO:0016021
LOC124193635	GO:0005634,GO:0000381,GO:0003727
LOC124193607	GO:0000938,GO:0005829,GO:0019905,GO:0006896,GO:0015031,GO:0042147
LOC124193628	GO:0005634,GO:0005737,GO:0003723,GO:0005515
LOC124193618	GO:0005634,GO:0003723,GO:0005515
LOC124189466	GO:0005778,GO:0005524,GO:0006635,GO:0140359,GO:0007031,GO:0016021,GO:0042760,GO:0015910,GO:0005324
LOC124189649	GO:0005769,GO:0035091,GO:0046872
LOC124189672	GO:0006281,GO:0003677,GO:0033699
LOC124189665	GO:0090305,GO:0017108,GO:0007009,GO:0097035,GO:0071709,GO:0000724,GO:0016021,GO:0008821,GO:0055091,GO:0005886,GO:0033557
LOC124189492	GO:0003723,GO:1990904
LOC124189700	GO:0005524,GO:0016740
LOC124189689	GO:0051321,GO:0000724,GO:0006289,GO:0007004,GO:0005662,GO:0043047,GO:0003684,GO:0006268
LOC124192432	GO:0005634,GO:0003677,GO:0003700,GO:0006355
LOC124192607	GO:0034663,GO:0003723,GO:0005524,GO:0016887,GO:0006396,GO:1903298
LOC124192438	GO:0007600,GO:0045494
LOC124196309	GO:0016021
LOC124196277	GO:0000293,GO:0005509,GO:0016021,GO:0005886,GO:0033215
LOC124196300	GO:0000293,GO:0005509,GO:0016021,GO:0005886,GO:0033215
