gene,color,number
Tcas000810,blue,2
Tcas000897,blue,2
Tcas000833,blue,2
Tcas001387,blue,2
Tcas000373,blue,2
Tcas000718,blue,2
Tcas001579,blue,2
Tcas000310,blue,2
Tcas000222,blue,2
Tcas001667,blue,2
Tcas001360,blue,2
Tcas000699,blue,2
Tcas001416,blue,2
Tcas001700,blue,2
Tcas000281,blue,2
Tcas001687,blue,2
Tcas000472,blue,2
Tcas000839,blue,2
Tcas001566,blue,2
Tcas001202,blue,2
Tcas001691,blue,2
Tcas000844,blue,2
Tcas000252,blue,2
Tcas001496,blue,2
Tcas001247,blue,2
Tcas000827,blue,2
Tcas001119,blue,2
Tcas000763,blue,2
Tcas001727,blue,2
Tcas000690,blue,2
Tcas000520,blue,2
Tcas000974,blue,2
Tcas000626,blue,2
Tcas000147,blue,2
Tcas000795,blue,2
Tcas000730,blue,2
Tcas000854,blue,2
Tcas001233,blue,2
Tcas001612,blue,2
Tcas000267,blue,2
Tcas000135,blue,2
Tcas001244,blue,2
Tcas000939,blue,2
Tcas000240,blue,2
Tcas000519,blue,2
Tcas001402,blue,2
Tcas001692,blue,2
Tcas001176,blue,2
Tcas001098,blue,2
Tcas000286,blue,2
Tcas001167,blue,2
Tcas001116,blue,2
Tcas000619,blue,2
Tcas001732,blue,2
Tcas001155,blue,2
Tcas000429,blue,2
Tcas000629,blue,2
Tcas001407,blue,2
Tcas001583,blue,2
Tcas001472,blue,2
Tcas001640,blue,2
Tcas001004,blue,2
Tcas001546,blue,2
Tcas001269,blue,2
Tcas000454,blue,2
Tcas000573,blue,2
Tcas000483,blue,2
Tcas000860,blue,2
Tcas001080,blue,2
Tcas001434,blue,2
Tcas001619,blue,2
Tcas001282,blue,2
Tcas000677,blue,2
Tcas001065,blue,2
Tcas001277,blue,2
Tcas000721,blue,2
Tcas001406,blue,2
Tcas000671,blue,2
Tcas000773,blue,2
Tcas001470,blue,2
Tcas001591,blue,2
Tcas001209,blue,2
Tcas001725,blue,2
Tcas000290,blue,2
Tcas001721,blue,2
Tcas000438,blue,2
Tcas001174,blue,2
Tcas000282,blue,2
Tcas001456,blue,2
Tcas001074,blue,2
Tcas000712,blue,2
Tcas000805,blue,2
Tcas001145,blue,2
Tcas000731,blue,2
Tcas001476,blue,2
Tcas000381,blue,2
Tcas001714,blue,2
Tcas000617,blue,2
Tcas001516,blue,2
Tcas000365,blue,2
Tcas000177,blue,2
Tcas001601,blue,2
Tcas001130,blue,2
Tcas000376,blue,2
Tcas001506,blue,2
Tcas001255,blue,2
Tcas001304,blue,2
Tcas000124,blue,2
Tcas000908,blue,2
Tcas001487,blue,2
Tcas000723,blue,2
Tcas001618,blue,2
Tcas000766,blue,2
Tcas000266,blue,2
Tcas000315,blue,2
Tcas000411,blue,2
Tcas001037,blue,2
Tcas001699,blue,2
Tcas000687,blue,2
Tcas000426,blue,2
Tcas000821,blue,2
Tcas000304,blue,2
Tcas001386,blue,2
Tcas000166,blue,2
Tcas001722,blue,2
Tcas001317,blue,2
Tcas000272,blue,2
Tcas001146,blue,2
Tcas001658,blue,2
Tcas000966,blue,2
Tcas000921,blue,2
Tcas000325,blue,2
Tcas000490,blue,2
Tcas001183,blue,2
Tcas000369,blue,2
Tcas001271,blue,2
Tcas000738,blue,2
Tcas001331,blue,2
Tcas000471,blue,2
Tcas000916,blue,2
Tcas000294,blue,2
Tcas000639,blue,2
Tcas000125,blue,2
Tcas000941,blue,2
Tcas001664,blue,2
Tcas000819,blue,2
Tcas001229,blue,2
Tcas000284,blue,2
Tcas000302,blue,2
